datapath,n_features,embedding_dim,aggregator,n_layers,n_heads,i_in_context,size_of_cpt,num_edges,max_parents,numparams
data/1,10,16,transformer,1,1,True,68,11,3,2592
data/1,10,16,transformer,1,1,False,68,11,3,2592
data/1,10,16,transformer,1,2,True,68,11,3,2592
data/1,10,16,transformer,1,2,False,68,11,3,2592
data/1,10,16,transformer,1,4,True,68,11,3,2592
data/1,10,16,transformer,1,4,False,68,11,3,2592
data/1,10,16,transformer,2,1,True,68,11,3,4224
data/1,10,16,transformer,2,1,False,68,11,3,4224
data/1,10,16,transformer,2,2,True,68,11,3,4224
data/1,10,16,transformer,2,2,False,68,11,3,4224
data/1,10,16,transformer,2,4,True,68,11,3,4224
data/1,10,16,transformer,2,4,False,68,11,3,4224
data/1,10,16,transformer,4,1,True,68,11,3,7488
data/1,10,16,transformer,4,1,False,68,11,3,7488
data/1,10,16,transformer,4,2,True,68,11,3,7488
data/1,10,16,transformer,4,2,False,68,11,3,7488
data/1,10,16,transformer,4,4,True,68,11,3,7488
data/1,10,16,transformer,4,4,False,68,11,3,7488
data/1,10,64,transformer,1,1,True,68,11,3,28800
data/1,10,64,transformer,1,1,False,68,11,3,28800
data/1,10,64,transformer,1,2,True,68,11,3,28800
data/1,10,64,transformer,1,2,False,68,11,3,28800
data/1,10,64,transformer,1,4,True,68,11,3,28800
data/1,10,64,transformer,1,4,False,68,11,3,28800
data/1,10,64,transformer,2,1,True,68,11,3,53760
data/1,10,64,transformer,2,1,False,68,11,3,53760
data/1,10,64,transformer,2,2,True,68,11,3,53760
data/1,10,64,transformer,2,2,False,68,11,3,53760
data/1,10,64,transformer,2,4,True,68,11,3,53760
data/1,10,64,transformer,2,4,False,68,11,3,53760
data/1,10,64,transformer,4,1,True,68,11,3,103680
data/1,10,64,transformer,4,1,False,68,11,3,103680
data/1,10,64,transformer,4,2,True,68,11,3,103680
data/1,10,64,transformer,4,2,False,68,11,3,103680
data/1,10,64,transformer,4,4,True,68,11,3,103680
data/1,10,64,transformer,4,4,False,68,11,3,103680
data/3,25,2,transformer,1,1,True,334,43,3,336
data/3,25,2,transformer,1,1,False,334,43,3,336
